id,timestamp,user,ip_address,action,status,location,device,failed_attempts,session_duration_min,bytes_transferred,anomaly_label
70,2024-01-05T12:15:21,user_022,2.58.56.201,LOGIN,FAILURE,"Bucharest, Romania",iOS 17,7,0,0,brute_force
71,2024-01-05T12:15:51,user_022,2.58.56.201,LOGIN,FAILURE,"Bucharest, Romania",Android 14,8,0,0,brute_force
72,2024-01-05T12:16:21,user_022,2.58.56.201,LOGIN,FAILURE,"Amsterdam, Netherlands",MacOS Ventura,9,0,0,brute_force
73,2024-01-05T12:16:51,user_022,2.58.56.201,LOGIN,FAILURE,"Shanghai, China",Windows 10,10,0,0,brute_force
74,2024-01-05T12:17:21,user_022,2.58.56.201,LOGIN,FAILURE,"Bucharest, Romania",Windows 10,11,0,0,brute_force
75,2024-01-05T12:17:51,user_022,2.58.56.201,LOGIN,FAILURE,"Amsterdam, Netherlands",Android 14,12,0,0,brute_force
76,2024-01-05T12:18:21,user_022,2.58.56.201,LOGIN,FAILURE,"Moscow, Russia",Ubuntu 22.04,13,0,0,brute_force
77,2024-01-05T12:18:51,user_022,2.58.56.201,LOGIN,FAILURE,"Amsterdam, Netherlands",iOS 17,14,0,0,brute_force
78,2024-01-05T12:19:21,user_022,2.58.56.201,LOGIN,FAILURE,"Shanghai, China",MacOS Ventura,15,0,0,brute_force
79,2024-01-05T12:19:51,user_022,2.58.56.201,LOGIN,FAILURE,"Bucharest, Romania",Windows 10,16,0,0,brute_force
80,2024-01-05T12:20:21,user_022,2.58.56.201,LOGIN,FAILURE,"Bucharest, Romania",MacOS Ventura,17,0,0,brute_force
81,2024-01-05T12:20:51,user_022,2.58.56.201,LOGIN,FAILURE,"Amsterdam, Netherlands",Windows 10,18,0,0,brute_force
82,2024-01-05T12:21:21,user_022,2.58.56.201,LOGIN,FAILURE,"Amsterdam, Netherlands",Windows 10,19,0,0,brute_force
83,2024-01-05T12:21:51,user_022,2.58.56.201,LOGIN,SUCCESS,"Amsterdam, Netherlands",MacOS Ventura,20,0,0,brute_force
84,2024-01-05T12:36:38,user_001,10.221.177.204,FILE_ACCESS,SUCCESS,"Seattle, US",Android 14,1,460,8894,normal
85,2024-01-05T13:46:08,user_038,192.168.198.48,FILE_ACCESS,SUCCESS,"Austin, US",MacOS Ventura,0,72,35450,normal
86,2024-01-05T14:56:53,user_012,10.81.82.76,LOGIN,FAILURE,"Austin, US",iOS 17,0,388,19070,normal
87,2024-01-05T16:25:30,user_028,192.168.64.87,SSH_LOGIN,SUCCESS,"Austin, US",MacOS Ventura,0,290,49453,normal
88,2024-01-05T16:42:40,user_008,10.81.82.76,LOGIN,SUCCESS,"New York, US",Windows 10,0,10,5000,impossible_travel
89,2024-01-05T16:57:40,user_008,185.234.218.21,LOGIN,SUCCESS,"Moscow, Russia",Ubuntu 22.04,0,30,50000,impossible_travel
90,2024-01-05T17:57:33,user_033,10.211.183.83,DATA_EXPORT,FAILURE,"Los Angeles, US",Windows 10,1,93,11055,normal
91,2024-01-05T19:25:15,user_035,10.81.82.76,ADMIN_PANEL,SUCCESS,"New York, US",Android 14,0,84,1557422,privilege_escalation
92,2024-01-06T09:50:54,user_009,192.168.223.229,PASSWORD_CHANGE,SUCCESS,"Los Angeles, US",Windows 10,1,46,516,normal
93,2024-01-06T09:56:29,user_026,10.86.59.91,SSH_LOGIN,SUCCESS,"Chicago, US",Windows 10,1,9,24277,normal
94,2024-01-06T10:17:56,user_016,192.168.223.229,PASSWORD_CHANGE,SUCCESS,"New York, US",MacOS Ventura,1,215,36329,normal
95,2024-01-06T11:03:17,user_047,10.132.205.99,PASSWORD_CHANGE,SUCCESS,"New York, US",iOS 17,0,176,5461,normal
96,2024-01-06T14:23:16,user_041,10.209.39.139,LOGIN,SUCCESS,"New York, US",Ubuntu 22.04,0,380,43163,normal
97,2024-01-06T15:29:23,user_008,10.153.239.149,ADMIN_PANEL,SUCCESS,"Seattle, US",Ubuntu 22.04,0,124,4071051,privilege_escalation
98,2024-01-06T15:58:13,user_036,192.168.64.87,ADMIN_PANEL,SUCCESS,"New York, US",Windows 10,0,469,7337,normal
99,2024-01-06T17:01:06,user_019,194.165.16.100,LOGIN,FAILURE,"Moscow, Russia",Ubuntu 22.04,1,0,0,brute_force
100,2024-01-06T17:01:36,user_019,194.165.16.100,LOGIN,FAILURE,"Shanghai, China",MacOS Ventura,2,0,0,brute_force
101,2024-01-06T17:02:06,user_019,194.165.16.100,LOGIN,FAILURE,"Amsterdam, Netherlands",Android 14,3,0,0,brute_force
102,2024-01-06T17:02:36,user_019,194.165.16.100,LOGIN,FAILURE,"Bucharest, Romania",MacOS Ventura,4,0,0,brute_force
103,2024-01-06T17:03:06,user_019,194.165.16.100,LOGIN,FAILURE,"Amsterdam, Netherlands",Windows 10,5,0,0,brute_force
104,2024-01-06T17:03:36,user_019,194.165.16.100,LOGIN,FAILURE,"Bucharest, Romania",MacOS Ventura,6,0,0,brute_force
105,2024-01-06T17:04:06,user_019,194.165.16.100,LOGIN,FAILURE,"Amsterdam, Netherlands",Android 14,7,0,0,brute_force
106,2024-01-06T17:04:36,user_019,194.165.16.100,LOGIN,FAILURE,"Bucharest, Romania",Android 14,8,0,0,brute_force
107,2024-01-06T17:05:06,user_019,194.165.16.100,LOGIN,FAILURE,"Bucharest, Romania",Android 14,9,0,0,brute_force
108,2024-01-06T17:05:36,user_019,194.165.16.100,LOGIN,FAILURE,"Amsterdam, Netherlands",Android 14,10,0,0,brute_force
109,2024-01-06T17:06:06,user_019,194.165.16.100,LOGIN,FAILURE,"Amsterdam, Netherlands",Ubuntu 22.04,11,0,0,brute_force
110,2024-01-06T17:06:36,user_019,194.165.16.100,LOGIN,FAILURE,"Shanghai, China",MacOS Ventura,12,0,0,brute_force
111,2024-01-06T17:07:06,user_019,194.165.16.100,LOGIN,FAILURE,"Shanghai, China",MacOS Ventura,13,0,0,brute_force
112,2024-01-06T17:07:36,user_019,194.165.16.100,LOGIN,FAILURE,"Shanghai, China",MacOS Ventura,14,0,0,brute_force
113,2024-01-06T17:08:06,user_019,194.165.16.100,LOGIN,SUCCESS,"Moscow, Russia",iOS 17,15,0,0,brute_force
114,2024-01-06T17:08:28,user_021,172.23.72.7,FILE_ACCESS,SUCCESS,"Seattle, US",Windows 10,1,181,9795,normal
115,2024-01-06T18:20:06,user_003,172.31.98.61,PASSWORD_CHANGE,SUCCESS,"Chicago, US",Ubuntu 22.04,0,197,42939,normal
116,2024-01-06T18:37:07,user_041,192.168.80.56,ADMIN_PANEL,SUCCESS,"Seattle, US",Android 14,0,260,384,normal
117,2024-01-06T19:52:24,user_039,10.80.134.203,FILE_ACCESS,SUCCESS,"Seattle, US",Android 14,0,271,7264,normal
118,2024-01-07T09:58:02,user_036,192.168.224.150,LOGIN,SUCCESS,"Austin, US",Windows 10,1,343,47306,normal
119,2024-01-07T10:13:59,user_028,10.192.131.0,ADMIN_PANEL,SUCCESS,"Chicago, US",MacOS Ventura,1,373,12824,normal
120,2024-01-07T11:48:38,user_013,10.223.175.92,LOGOUT,SUCCESS,"Seattle, US",iOS 17,0,142,4073,normal
121,2024-01-07T12:19:46,user_027,192.168.80.56,ADMIN_PANEL,SUCCESS,"Los Angeles, US",Windows 10,0,108,331,normal
122,2024-01-07T12:28:25,user_013,10.119.139.160,SSH_LOGIN,SUCCESS,"Austin, US",MacOS Ventura,1,155,40282,normal
123,2024-01-07T13:12:12,user_028,192.168.223.229,LOGOUT,SUCCESS,"Chicago, US",MacOS Ventura,1,360,45440,normal
124,2024-01-07T14:11:10,user_007,192.168.242.146,FILE_ACCESS,SUCCESS,"Seattle, US",Android 14,0,238,49208,normal
125,2024-01-07T14:16:05,user_036,192.168.154.92,PASSWORD_CHANGE,SUCCESS,"Los Angeles, US",MacOS Ventura,1,291,13083,normal
126,2024-01-07T14:26:50,user_025,192.168.242.146,FILE_ACCESS,FAILURE,"New York, US",Windows 10,1,108,40769,normal
127,2024-01-07T15:55:23,user_042,192.168.63.4,LOGIN,SUCCESS,"Seattle, US",Windows 10,1,47,10606,normal
128,2024-01-07T16:23:15,user_026,172.28.100.147,LOGIN,SUCCESS,"New York, US",Ubuntu 22.04,0,434,46938,normal
129,2024-01-07T16:41:21,user_008,10.223.175.92,ADMIN_PANEL,FAILURE,"Austin, US",MacOS Ventura,0,65,15884,normal
130,2024-01-07T16:57:09,user_045,172.22.125.151,SSH_LOGIN,SUCCESS,"New York, US",Android 14,0,97,38467,normal
131,2024-01-07T18:11:40,user_042,10.39.240.134,SSH_LOGIN,SUCCESS,"New York, US",iOS 17,0,326,20124,normal
132,2024-01-07T19:20:13,user_043,10.86.59.91,ADMIN_PANEL,SUCCESS,"Seattle, US",Windows 10,1,99,16632,normal
133,2024-01-08T08:27:36,user_034,172.31.157.133,PASSWORD_CHANGE,SUCCESS,"Austin, US",iOS 17,0,258,40909,normal
134,2024-01-08T08:38:48,user_042,10.81.82.76,PASSWORD_CHANGE,SUCCESS,"Austin, US",iOS 17,1,288,46722,normal
135,2024-01-08T09:59:27,user_016,172.22.144.9,ADMIN_PANEL,SUCCESS,"New York, US",Ubuntu 22.04,0,66,930,normal
136,2024-01-08T10:51:48,user_048,192.168.6.38,FILE_ACCESS,FAILURE,"Austin, US",iOS 17,0,449,41809,normal
137,2024-01-08T10:52:45,user_022,192.168.132.183,SSH_LOGIN,SUCCESS,"Los Angeles, US",Windows 10,0,443,32049,normal
138,2024-01-08T11:15:15,user_043,172.17.78.30,FILE_ACCESS,SUCCESS,"New York, US",Ubuntu 22.04,0,177,11226,normal
139,2024-01-08T13:41:09,user_004,192.168.64.87,PASSWORD_CHANGE,SUCCESS,"Los Angeles, US",iOS 17,0,167,36692,normal
140,2024-01-08T14:26:35,user_036,172.29.110.41,LOGOUT,SUCCESS,"Chicago, US",MacOS Ventura,1,336,5281,normal
141,2024-01-08T15:17:13,user_001,192.168.176.253,SSH_LOGIN,SUCCESS,"Los Angeles, US",iOS 17,0,71,40370,normal
142,2024-01-08T15:26:30,user_011,172.22.125.151,LOGOUT,SUCCESS,"Los Angeles, US",Ubuntu 22.04,1,380,22734,normal
143,2024-01-08T17:30:32,user_004,172.29.110.41,LOGOUT,SUCCESS,"Seattle, US",Windows 10,0,40,39096,normal
144,2024-01-08T17:40:27,user_020,10.91.66.201,LOGIN,SUCCESS,"Seattle, US",Windows 10,1,440,25099,normal
145,2024-01-08T18:45:03,user_029,95.214.55.0,LOGIN,SUCCESS,"Bucharest, Romania",Android 14,0,22,26451,geo_anomaly
146,2024-01-09T09:31:38,user_007,10.192.131.0,LOGOUT,SUCCESS,"Los Angeles, US",iOS 17,1,420,48460,normal
147,2024-01-09T10:18:07,user_012,192.168.223.229,ADMIN_PANEL,SUCCESS,"Chicago, US",Android 14,1,101,21113,normal
148,2024-01-09T11:25:07,user_044,10.211.183.83,LOGOUT,SUCCESS,"New York, US",Android 14,0,219,43181,normal
149,2024-01-09T12:13:02,user_001,10.153.239.149,SSH_LOGIN,SUCCESS,"Chicago, US",Android 14,1,221,46093,normal
150,2024-01-09T13:28:31,user_024,192.168.224.150,PASSWORD_CHANGE,SUCCESS,"Austin, US",Android 14,1,236,40794,normal
151,2024-01-09T13:38:31,user_021,192.168.132.183,DATA_EXPORT,SUCCESS,"New York, US",Ubuntu 22.04,1,24,35822,normal
152,2024-01-09T14:05:19,user_018,172.31.98.61,ADMIN_PANEL,SUCCESS,"Seattle, US",MacOS Ventura,1,99,3622,normal
153,2024-01-09T14:17:26,user_011,10.119.139.160,ADMIN_PANEL,SUCCESS,"Chicago, US",Ubuntu 22.04,0,374,41062,normal
154,2024-01-09T14:35:25,user_006,192.168.63.4,FILE_ACCESS,SUCCESS,"Seattle, US",iOS 17,0,407,46002,normal
155,2024-01-09T15:08:07,user_019,192.168.64.87,SSH_LOGIN,SUCCESS,"Seattle, US",iOS 17,0,361,13800,normal
156,2024-01-09T16:49:08,user_049,172.22.145.226,DATA_EXPORT,SUCCESS,"Seattle, US",MacOS Ventura,1,275,39853,normal
157,2024-01-09T17:00:48,user_014,10.119.139.160,LOGOUT,SUCCESS,"New York, US",MacOS Ventura,1,48,37463,normal
158,2024-01-09T17:02:28,user_007,172.26.105.108,DATA_EXPORT,SUCCESS,"New York, US",MacOS Ventura,0,210,28867,normal
159,2024-01-10T08:13:00,user_032,10.239.148.215,LOGOUT,SUCCESS,"Austin, US",MacOS Ventura,1,58,22411,normal
160,2024-01-10T08:24:24,user_018,10.148.206.142,LOGIN,SUCCESS,"Chicago, US",MacOS Ventura,1,40,32325,normal
161,2024-01-10T09:32:04,user_033,185.234.218.21,LOGIN,FAILURE,"Moscow, Russia",Ubuntu 22.04,1,0,0,brute_force
162,2024-01-10T09:32:34,user_033,185.234.218.21,LOGIN,FAILURE,"Shanghai, China",iOS 17,2,0,0,brute_force
163,2024-01-10T09:33:04,user_033,185.234.218.21,LOGIN,FAILURE,"Bucharest, Romania",iOS 17,3,0,0,brute_force
164,2024-01-10T09:33:34,user_033,185.234.218.21,LOGIN,FAILURE,"Shanghai, China",MacOS Ventura,4,0,0,brute_force
165,2024-01-10T09:34:04,user_033,185.234.218.21,LOGIN,FAILURE,"Bucharest, Romania",Ubuntu 22.04,5,0,0,brute_force
166,2024-01-10T09:34:34,user_033,185.234.218.21,LOGIN,FAILURE,"Shanghai, China",Ubuntu 22.04,6,0,0,brute_force
167,2024-01-10T09:35:04,user_033,185.234.218.21,LOGIN,FAILURE,"Amsterdam, Netherlands",Ubuntu 22.04,7,0,0,brute_force
168,2024-01-10T09:35:34,user_033,185.234.218.21,LOGIN,FAILURE,"Amsterdam, Netherlands",Ubuntu 22.04,8,0,0,brute_force
169,2024-01-10T09:36:04,user_033,185.234.218.21,LOGIN,FAILURE,"Moscow, Russia",Ubuntu 22.04,9,0,0,brute_force
170,2024-01-10T09:39:38,user_042,192.168.224.150,ADMIN_PANEL,SUCCESS,"Seattle, US",Windows 10,1,470,37564,normal
171,2024-01-10T10:50:19,user_004,172.26.105.108,DATA_EXPORT,SUCCESS,"Chicago, US",iOS 17,0,244,45233,normal
172,2024-01-10T10:59:01,user_008,192.168.159.151,FILE_ACCESS,SUCCESS,"Chicago, US",MacOS Ventura,1,460,39267,normal
173,2024-01-10T11:08:31,user_042,192.168.6.38,ADMIN_PANEL,SUCCESS,"New York, US",MacOS Ventura,0,137,4152405,privilege_escalation
174,2024-01-10T12:15:17,user_046,10.148.206.142,FILE_ACCESS,SUCCESS,"New York, US",MacOS Ventura,0,123,25202,normal
175,2024-01-10T15:42:47,user_023,10.223.175.92,ADMIN_PANEL,SUCCESS,"New York, US",MacOS Ventura,0,286,1994514,privilege_escalation
176,2024-01-10T15:43:33,user_029,10.239.196.237,LOGOUT,SUCCESS,"Seattle, US",Android 14,0,398,8556,normal
177,2024-01-10T17:21:19,user_035,10.80.134.203,ADMIN_PANEL,FAILURE,"Los Angeles, US",Android 14,0,27,8477,normal
178,2024-01-10T17:24:05,user_036,192.168.154.92,FILE_ACCESS,SUCCESS,"Austin, US",Windows 10,0,441,13746,normal
179,2024-01-10T17:27:36,user_021,192.168.154.92,DATA_EXPORT,SUCCESS,"Chicago, US",Windows 10,1,15,21384,normal
180,2024-01-10T18:04:16,user_019,10.221.177.204,LOGOUT,SUCCESS,"Austin, US",Ubuntu 22.04,1,70,44094,normal
181,2024-01-10T18:23:23,user_014,192.168.167.144,SSH_LOGIN,SUCCESS,"New York, US",Ubuntu 22.04,0,372,21652,normal
182,2024-01-10T18:48:54,user_011,192.168.48.203,PASSWORD_CHANGE,SUCCESS,"Austin, US",Android 14,0,255,16320,normal
183,2024-01-10T19:17:40,user_041,192.168.64.87,DATA_EXPORT,SUCCESS,"Chicago, US",Android 14,0,219,10159,normal
184,2024-01-11T11:47:47,user_020,10.80.134.203,FILE_ACCESS,SUCCESS,"Seattle, US",MacOS Ventura,0,99,14569,normal
185,2024-01-11T12:13:53,user_002,192.168.167.144,PASSWORD_CHANGE,SUCCESS,"Seattle, US",Android 14,1,61,18981,normal
186,2024-01-11T12:53:40,user_036,10.192.131.0,SSH_LOGIN,SUCCESS,"Los Angeles, US",Windows 10,0,343,15035,normal
187,2024-01-11T13:14:20,user_011,172.31.157.133,DATA_EXPORT,SUCCESS,"Chicago, US",Android 14,1,143,29256,normal
188,2024-01-11T14:24:10,user_024,192.168.159.151,ADMIN_PANEL,SUCCESS,"Seattle, US",iOS 17,0,424,31688,normal
189,2024-01-11T15:51:36,user_030,10.39.240.134,LOGIN,SUCCESS,"Austin, US",Ubuntu 22.04,0,259,48939,normal
190,2024-01-11T18:15:33,user_028,192.168.176.253,SSH_LOGIN,SUCCESS,"Chicago, US",Ubuntu 22.04,1,216,12420,normal
191,2024-01-11T18:15:45,user_036,10.39.240.134,LOGOUT,SUCCESS,"Chicago, US",MacOS Ventura,0,434,1283,normal
192,2024-01-11T18:18:19,user_021,10.39.240.134,PASSWORD_CHANGE,SUCCESS,"Los Angeles, US",iOS 17,1,233,2875,normal
193,2024-01-11T18:39:04,user_031,192.168.79.58,PASSWORD_CHANGE,SUCCESS,"Seattle, US",Ubuntu 22.04,1,270,30526,normal
194,2024-01-11T18:49:36,user_003,172.23.72.7,DATA_EXPORT,SUCCESS,"Seattle, US",iOS 17,0,259,41201,normal
195,2024-01-11T19:09:22,user_008,10.119.139.160,FILE_ACCESS,SUCCESS,"Los Angeles, US",Android 14,1,183,31305,normal
196,2024-01-11T19:22:03,user_033,10.221.177.204,ADMIN_PANEL,SUCCESS,"New York, US",Ubuntu 22.04,1,401,21489,normal
197,2024-01-12T10:51:22,user_020,172.22.125.151,LOGIN,SUCCESS,"New York, US",Windows 10,0,10,5000,impossible_travel
198,2024-01-12T11:06:22,user_020,2.58.56.201,LOGIN,SUCCESS,"Moscow, Russia",Ubuntu 22.04,0,30,50000,impossible_travel
199,2024-01-12T11:16:13,user_033,172.22.125.151,LOGIN,SUCCESS,"New York, US",Windows 10,0,10,5000,impossible_travel
200,2024-01-12T11:23:28,user_032,10.119.139.160,LOGOUT,SUCCESS,"Los Angeles, US",Windows 10,1,406,2550,normal
